"","pd_12.14","pd_12.2","pd_12.7","pd_13.10","pd_13.13","pd_13.9","pd_14.11","pd_14.12","pd_14.8","pd_15.3","pd_15.6"
"TRINITY_DN65799_c0_g1_i3",65,0,87,32,90,52,105,80,0,0,85
"TRINITY_DN66477_c0_g1_i27",17,36,32,36,28,0,5,0,0,25,0
"TRINITY_DN60075_c0_g1_i5",3,10,4,5,18,28,42,30,28,19,19
"TRINITY_DN66820_c1_g1_i12",20,0,21,30,29,60,37,19,0,0,14
"TRINITY_DN50020_c0_g1_i7",146,0,68,105,202,44,186,157,0,68,88
"TRINITY_DN60246_c2_g2_i4",9,0,15,12,22,19,15,17,0,15,24
"TRINITY_DN66477_c0_g1_i9",19,20,26,18,10,0,45,0,0,29,0
"TRINITY_DN66966_c3_g1_i3",101,0,12,39,17,25,383,125,0,60,90
"TRINITY_DN46280_c0_g1_i2",0,0,0,0,9,15,122,47,12,17,28
"TRINITY_DN58090_c1_g1_i23",104,6906,323,45,407,228,851,62,200,223,61
"TRINITY_DN59426_c0_g1_i6",30,0,45,24,38,42,15,11,2,44,48
"TRINITY_DN62923_c1_g2_i12",41,0,56,24,35,0,74,42,0,53,54
"TRINITY_DN62785_c0_g1_i8",0,9,0,0,17,25,27,15,10,0,21
"TRINITY_DN48775_c0_g1_i1",40,0,10,19,10,19,92,30,0,18,10
"TRINITY_DN66459_c3_g3_i3",18,0,44,48,37,45,62,24,0,20,30
"TRINITY_DN59087_c0_g1_i5",159,135,143,153,152,115,200,98,190,125,107
"TRINITY_DN52824_c0_g1_i7",0,54,0,3,1,37,49,8,181,35,39
"TRINITY_DN62229_c2_g1_i2",26,0,22,16,49,19,53,13,0,12,0
"TRINITY_DN66892_c4_g1_i5",15,14,16,16,13,4,9,0,11,4,2
"TRINITY_DN56326_c0_g4_i6",23,108,50,163,93,2,27,0,50,19,0
"TRINITY_DN63464_c0_g1_i18",27,0,16,14,43,47,9,39,0,27,32
"TRINITY_DN57032_c1_g1_i3",22,0,16,15,15,39,15,43,0,15,17
"TRINITY_DN62575_c0_g1_i13",6,0,18,13,32,25,31,21,0,12,13
"TRINITY_DN60021_c0_g1_i9",0,14,0,0,21,18,0,26,32,26,28
"TRINITY_DN58290_c0_g3_i5",13,0,27,11,28,24,27,14,0,13,14
"TRINITY_DN66611_c0_g2_i1",8,107,10,9,14,4,24,4,54,28,12
"TRINITY_DN62599_c0_g1_i22",19,0,15,13,16,12,26,6,0,10,22
"TRINITY_DN47473_c0_g1_i1",125,0,0,11,0,20,159,80,0,0,60
"TRINITY_DN60273_c1_g1_i1",10,40,16,16,8,17,15,20,50,11,14
"TRINITY_DN67419_c3_g1_i6",47,46,60,24,45,0,0,0,59,38,0
"TRINITY_DN63125_c0_g2_i1",58,0,26,24,0,0,170,18,0,0,46
"TRINITY_DN52656_c0_g1_i3",10,35,12,11,19,26,33,16,40,10,31
"TRINITY_DN55994_c2_g1_i3",0,15,0,0,17,11,0,41,24,10,50
"TRINITY_DN60411_c4_g4_i9",15,0,7,16,39,7,19,8,0,15,20
"TRINITY_DN64114_c0_g1_i6",160,213,0,237,58,0,57,0,45,108,0
"TRINITY_DN58605_c0_g1_i3",9,13,28,19,21,0,39,0,26,26,0
"TRINITY_DN61949_c0_g1_i1",49,0,65,43,40,27,74,46,0,22,86
"TRINITY_DN58940_c3_g1_i3",66,0,39,65,40,0,104,36,0,23,18
"TRINITY_DN62082_c2_g1_i7",99,80,92,88,85,66,108,45,95,76,67
"TRINITY_DN64072_c0_g2_i6",32,0,42,9,27,33,42,26,0,23,28
"TRINITY_DN66761_c2_g3_i4",0,0,0,86,71,113,0,268,0,59,58
"TRINITY_DN62677_c0_g1_i2",7,44,0,7,93,71,108,53,80,24,35
"TRINITY_DN59137_c3_g1_i7",75,167,226,197,104,0,304,0,0,211,0
"TRINITY_DN54095_c0_g1_i1",109,110,130,138,114,69,126,56,142,97,99
"TRINITY_DN56386_c4_g1_i16",27,0,32,42,47,22,14,0,0,27,22
"TRINITY_DN36186_c0_g1_i1",5,88,62,46,20,2,7,0,51,14,0
"TRINITY_DN56967_c0_g1_i4",18,0,67,44,31,17,21,0,0,65,48
"TRINITY_DN63445_c1_g1_i1",14,0,3,14,16,20,13,19,0,7,17
"TRINITY_DN65420_c0_g3_i3",0,21,0,0,21,16,17,0,15,19,16
"TRINITY_DN62785_c0_g1_i10",0,1,0,0,29,27,29,16,11,25,19
"TRINITY_DN56231_c0_g2_i7",34,0,23,17,10,20,30,16,0,8,12
"TRINITY_DN66647_c2_g1_i15",19,0,23,15,10,12,27,8,0,17,0
"TRINITY_DN62770_c2_g1_i8",65,0,26,0,15,40,54,72,0,14,43
"TRINITY_DN56591_c2_g1_i2",9,34,6,14,0,12,0,24,32,0,15
"TRINITY_DN57249_c0_g3_i7",50,33,46,44,95,161,95,99,69,105,183
